x,y,z
0.674,2.364,112.700
0.907,2.481,99.900
0.621,1.942,70.400
0.630,2.623,80.600
-0.859,2.516,87.700
0.921,2.277,100.700
-0.032,2.686,108.700
0.163,2.467,70.000
0.337,1.596,111.400
0.491,1.676,109.500
1.125,2.546,102.400
-0.291,1.555,114.000
0.509,2.180,72.900
-0.631,2.297,67.200
-0.582,2.672,59.800
0.425,2.412,73.300
0.606,2.002,78.000
-0.555,2.026,72.700
0.239,2.732,64.000
-0.023,2.247,79.300
0.400,2.079,102.700
-0.267,1.987,88.000
-0.010,1.429,88.500
0.324,3.177,79.300
0.525,3.236,91.400
0.333,2.456,78.800
-0.019,2.171,92.600
0.489,2.808,74.900
0.328,2.364,79.200
-0.127,3.028,69.300
-0.346,3.040,94.200
-0.065,2.199,75.200
0.432,1.593,99.700
0.521,3.004,64.400
0.715,1.818,70.200
-0.909,2.394,56.000
0.219,2.404,109.700
-0.609,2.077,81.100
0.489,2.260,112.600
0.759,2.366,93.900
0.554,1.917,110.500
-0.493,1.821,70.700
-0.679,2.587,73.100
-0.881,2.276,106.600
-0.831,3.130,54.300
1.277,1.884,97.500
-0.076,1.170,93.500
0.279,3.236,77.000
0.539,1.329,69.000
0.533,1.525,93.500
0.482,2.657,89.800
0.097,2.466,99.900
-0.272,2.119,84.400
1.396,1.642,66.400
0.733,1.904,61.400
0.204,3.671,67.900
-0.312,3.378,67.000
0.340,1.951,104.600
0.045,1.779,113.400
0.349,2.965,84.600
0.318,2.137,90.200
-0.423,2.099,64.000
0.405,2.225,81.500
-0.617,2.104,106.000
0.501,1.520,99.000
0.219,2.275,77.600
0.862,2.189,113.800
0.504,3.094,115.000
-0.535,2.716,67.900
0.698,2.366,102.200
0.042,2.821,88.300
0.495,2.227,98.200
0.471,2.835,74.000
-0.409,2.472,107.200
-0.889,2.381,82.900
0.319,2.724,71.800
0.567,3.015,81.300
0.405,2.967,87.200
-0.319,2.074,59.200
1.140,2.176,66.100
-0.552,2.933,71.100
0.878,3.163,77.400
-0.491,2.150,89.200
0.450,1.424,66.400
0.637,1.823,84.400
0.731,2.036,89.600
0.579,1.468,85.000
-0.416,1.995,114.100
-0.678,2.173,76.300
0.568,2.265,98.000
0.238,1.598,88.300
1.055,2.805,74.600
0.023,3.493,72.900
1.113,1.918,79.200
0.865,2.283,61.600
0.674,1.694,84.600
-0.064,3.288,80.000
-0.799,2.828,57.500
0.077,2.865,77.900
0.071,2.546,68.400
-0.405,3.272,87.800
-0.471,3.587,65.800
0.070,2.597,67.600
-0.412,3.040,89.900
-0.370,3.094,60.900
0.410,2.011,90.100
0.726,2.071,73.200
-0.124,2.752,107.600
-0.869,2.639,41.700
-0.470,3.272,66.200
0.270,2.146,91.500
0.273,2.248,99.600
0.372,2.778,75.800
-0.585,2.617,56.300
-0.185,2.294,103.200
0.146,3.043,84.100
-0.111,2.957,69.300
0.402,2.542,108.600
0.953,1.654,81.400
-0.840,2.921,44.600
0.254,2.083,69.300
-0.650,2.558,37.000
0.224,2.668,99.000
-0.066,2.907,66.700
-0.497,2.962,55.400
0.194,1.880,70.600
0.137,2.750,99.000
-0.143,2.752,84.000
-0.005,3.419,73.100
0.126,2.740,63.100
-0.609,2.300,70.400
-0.042,2.557,69.100
-0.475,2.488,99.800
0.518,2.449,95.000
0.253,1.681,99.000
-0.439,2.737,102.600
-0.147,1.615,101.000
0.318,2.604,95.600
0.896,2.860,70.300
1.216,2.315,70.200
0.060,2.291,89.000
0.685,1.644,82.900
1.015,2.284,76.300
-0.245,2.808,75.700
0.542,1.925,82.900
0.204,3.188,68.300
0.445,2.501,75.000
-0.028,1.775,89.700
-0.537,1.535,82.700
-0.543,2.731,64.500
-0.306,3.149,52.800
-1.166,1.785,94.600
-0.270,1.599,107.100
-1.148,1.873,62.200
-0.022,2.645,92.200
-0.504,1.923,80.300
-0.053,2.825,68.800
0.240,2.450,73.700
-0.078,2.510,64.900
-0.086,2.802,80.100
0.713,1.867,84.900
0.582,3.064,91.000
1.152,1.972,88.800
-0.759,2.360,109.100
-0.641,2.406,60.100
-0.038,2.099,97.800
-0.268,2.280,99.500
1.285,1.684,76.800
-0.485,2.006,95.100
0.331,1.429,72.200
0.095,3.050,84.800
0.021,1.461,79.300
0.142,2.821,78.300
0.835,2.495,69.800
0.480,1.889,101.900
0.762,1.771,102.000
0.629,2.206,94.800
-0.273,2.894,75.300
0.179,1.432,97.100
0.186,2.598,97.700
-0.028,2.524,77.900
0.271,1.836,99.800
0.488,2.591,89.800
0.468,1.758,93.800
0.415,3.204,62.700
-0.031,2.787,76.400
-0.171,2.454,67.900
0.514,3.440,76.700
-0.753,2.793,55.300
0.842,2.539,80.000
-0.775,2.065,78.700
0.759,2.169,79.600
-0.605,2.840,64.800
-1.274,2.398,57.600
0.321,2.623,93.100
0.204,2.565,91.600
-0.589,2.390,95.900
-1.073,1.915,72.000
-0.317,1.607,108.900
0.221,2.171,106.200
0.547,1.933,89.300
0.382,1.885,104.300
-0.017,3.041,84.200
0.703,1.044,65.700
0.089,2.502,67.200
0.163,3.262,71.100
0.391,1.891,89.300
0.799,2.327,100.400
-0.387,2.837,107.300
0.241,2.613,105.200
-0.326,2.995,69.300
0.492,3.596,74.600
0.297,2.138,65.000
0.281,2.946,102.400
0.255,1.826,102.900
0.153,2.696,107.000
-0.237,2.984,87.700
0.422,2.712,61.400
0.558,3.893,80.000
1.250,2.215,69.700
-0.268,2.869,80.000
0.170,2.334,63.900
0.514,2.374,81.400
-0.079,1.511,108.200
-0.345,2.434,88.000
-0.624,2.218,84.200
-0.477,3.388,74.400
-0.199,3.498,73.600
0.470,2.029,97.300
0.502,1.380,109.200
